id,situation
sp_ps_1,Give a speech in front of a mirror
sp_ps_2,Give a speech in front of a small group of friends/family
sp_ps_3,Give a speech in front of a small audience of strangers
sp_ps_4,Give a speech in front of a large audience of strangers
sp_ps_5,Speak up in a meeting or in class
sp_ps_6,Read aloud in front of a group
sp_ps_7,Attend a toastmaster's meeting (toastmasters is a club that teaches public speaking skills)
sp_ps_8,Give a speech without preparing first
sp_ps_9,Give a toast at a wedding
sp_ps_10,Give a speech and deliberately leave moments of silence
sp_ps_11,Attend an acting course
sp_ps_12,Teach a class
sp_ps_13,Attend an improv class
sp_ps_14,Sign up for a public speaking class
sp_ps_15,Give a presentation for class or work
sp_ps_16,Sing karaoke
sp_ps_17,"Give a speech and deliberately include ""mistakes”"
sp_ps_18,Ask a question in class
sp_ps_19,Answer a question in class
sp_ts_1,Ask a stranger for the time
sp_ts_2,Ask a stranger for directions
sp_ts_3,Order something at a café
sp_ts_4,Order food over the phone
sp_ts_5,Ask a stranger for a favor
sp_ts_6,Ask a stranger for an unusual favor
sp_ts_7,Ask someone to borrow money
sp_ts_8,Ask someone to use their cell phone
sp_ts_9,Administer a survey to strangers
sp_ts_10,Smile at a stranger
sp_ts_11,Say hello and make eye contact with a stranger
sp_ts_12,Compliment a stranger
sp_ts_13,Ask how someone's day is going
sp_ts_14,Join a club or group
sp_ts_15,Ask someone for help at the gym
sp_ts_16,Ask someone in a store for the location of an item
sp_ts_17,Ask someone in a store to tell you more about a specific product
sp_ts_18,Ask someone in a store for a discount on an item
sp_ts_19,"Return food/drink item (e.g., coffee) and ask for a refund"
sp_ts_20,Make small talk with a stranger while in line
sp_ts_21,Introduce yourself to a stranger
sp_ts_22,Smile at everyone you pass and make eye contact
sp_d_1,Ask someone for their phone number
sp_d_2,Ask someone out
sp_d_3,Go on a date
sp_d_4,Make an online dating profile
sp_d_5,Send a message to someone on an online dating website
sp_d_6,Respond to a message on an online dating website
sp_d_7,Offer to buy someone a drink or coffee
sp_d_8,Role play a first date
sp_d_9,Talk to someone of the gender you're romantically interested in
sp_d_10,Talk to someone you're romantically attracted to
sp_d_11,Smile at someone you're attracted to
sp_d_12,Say hello to someone you're attracted to
sp_ta_1,Start a conversation with an acquaintance
sp_ta_2,Contribute in a group discussion
sp_ta_3,Talk to someone in authority
sp_ta_4,Call an acquaintance
sp_ta_5,Talk about yourself
sp_ta_6,Talk to an attractive person of the opposite gender (or same gender if you are not heterosexual)
sp_ta_7,Discuss a controversial topic or endorse a minority opinion
sp_ta_8,End a conversation
sp_ta_9,Interrupt someone
sp_ta_10,Tell a joke
sp_ta_11,Ask for someone’s phone number
sp_ta_12,Invite an acquaintance to do something with you now
sp_ta_13,Invite an acquaintance to do something with you in the future
sp_ta_14,Make small talk with an acquaintance
sp_ta_15,Share something embarrassing that happened to you
sp_sg_1,Go to a party
sp_sg_2,Be the center of attention
sp_sg_3,Break into a conversation
sp_sg_4,Throw a party
sp_sg_5,Go to a party where you don't know anyone
sp_sg_6,Go to a party where you don't know people well
sp_sg_7,Go to an event at meetup.com
sp_sg_8,Initiate a conversation with someone you don't know at a social event
sp_sg_9,Introduce yourself to someone you don’t know at a social event
sp_sg_10,Dance at a social event
sp_sg_11,Eat food at a social event
sp_sg_12,(If they tend to drink to manage their anxiety): Stay at the party for a set period of time before drinking or don't drink at all
sp_o_1,Make a phone call in public
sp_o_2,Eat in public
sp_o_3,Drink in public
sp_o_4,Eat with other people
sp_o_5,Drink with other people
sp_o_6,Write with people watching you
sp_o_7,Use a public restroom
sp_o_8,Enter a room when others are seated
sp_o_9,Disagree with people
sp_o_10,Discuss politics with people
sp_o_11,Look a stranger in the eyes
sp_o_12,Look a close friend/family member in the eyes
sp_o_13,Return something to a store
sp_o_14,Say no to a request
sp_o_15,"Do something strange in public (e.g. dance, sing, shout nonsense words)"
sp_o_16,Sit facing someone on public transportation
sp_o_17,Wear bright colors
sp_o_18,Wear unusual clothing
sp_o_19,Deliberately take a long time ordering at a café or restaurant
sp_o_20,Deliberately take a long time checking out at a grocery store
sp_o_21,Exercise in public
sp_o_22,Apply for a job
sp_o_23,Go on a job interview
sp_o_24,Volunteer at a local charity
sp_o_25,Participate in a group sport
sp_o_26,Sing a song out loud in a public location
sp_o_27,Have lunch/ coffee with a colleague
sp_o_28,Ask a friend for a favor
sp_o_29,Pay for something in small change
sp_o_30,Write a provocative post on social media
sp_o_31,Discuss your feelings with a friend
sp_o_32,Eat alone at a restaurant/cafe
sp_o_33,Drop something deliberately in public
sp_o_34,Stand the wrong way on an elevator
sp_o_35,"Ask an obviously silly question (e.g., ""where's the ATM?"" when standing in front of it)"
pd_d_1,Drive around your neighborhood
pd_d_2,Drive a significant distance from home
pd_d_3,Drive on the freeway
pd_d_4,Drive on a multiple lane road
pd_d_5,Drive on a bridge
pd_d_6,Drive in a tunnel
pd_d_7,"Drive without anxiety medications, herbs, or supplements"
